"code_ref_rubrique","code_type_referentiel","code_compo_bloc","position_bloc","libelle_ref_rubrique"
"1","6","1","1","Arborescence"
"2","3","2","1","Code ROME"
"3","3","2","1","Intitulé"
"4","4","3","1","Appellations"
"5","5","7","1","Environnements de travail"
"6","2","8","1","Activités de base"
"7","1","8","2","Savoirs théoriques et procéduraux (AB)"
"8","1","8","3","Savoirs de l''action (AB)"
"9","2","9","1","Activités spécifiques"
"10","1","9","2","Savoirs théoriques et procéduraux (AS)"
"11","1","9","3","Savoirs de l''action (AS)"
