"code_grand_domaine","libelle_grand_domaine"
"A","AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX"
"B","ARTS ET FACONNAGE D''OUVRAGES D''ART"
"C","BANQUE, ASSURANCE, IMMOBILIER"
"D","COMMERCE, VENTE ET GRANDE DISTRIBUTION"
"E","COMMUNICATION, MEDIA ET MULTIMEDIA"
"F","CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS"
"N","TRANSPORT ET LOGISTIQUE"
"M","SUPPORT A L''ENTREPRISE"
"L","SPECTACLE"
"G","HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION"
"K","SERVICES A LA PERSONNE ET A LA COLLECTIVITE"
"I","INSTALLATION ET MAINTENANCE"
"J","SANTE"
"H","INDUSTRIE"
